300MB BANDA LARGA 2023,8625
40MB BANDA LARGA 2023,8600
20 MB FIBRA SOORETAMA - 2021,8175
60MB BANDA LARGA 2023,7400
60MB BANDA LARGA 2024 (L/S),6675
"BRAÇO.RIO-20MB-44,90-BONUS-MIGRA",6325
10 MEGAS INTERIOR 2022,5275
(Novos Clientes) IPTV + 300MB BANDA LARGA 2024,4450
100MB BANDA LARGA 2023,3850
(Upgrade) IPTV + 300MB BANDA LARGA 2024,3775
150MB BANDA LARGA 2024 (L/S),3025
30 MB FIBRA SOORETAMA - 2021,2875
10 MB FIBRA SOORETAMA,2400
150MB BANDA LARGA 2023,2075
100 MEGAS LINHARES FIDELIZADO,1950
BRAÇO.RIO-100MB 2022,1600
50 MEGAS FIBRA SOORETAMA,1550
(BR) 60MB BANDA LARGA 2024,1450
25 MB FIBRA - SOORETAMA,1350
4_MB - INTERIOR,1350
BRAÇO.RIO-60MB 2023,1050
50 MEGAS LINHARES FIDELIZADO,1000
15 MEGAS INTERIOR 2022,825
20 MEGAS INTERIOR 2022,725
500MB BANDA LARGA 2023,700
(BR) IPTV+150MB BANDA LARGA 2024,575
BRAÇO.RIO-150MB+150MB BONUS 12MESES 2022,550
(Novos Clientes) IPTV + 500MB BANDA LARGA 2024 (COMBO4),525
130MEGAS REDE LINHARES,450
30 MEGAS LINHARES FIDELIZADO,450
6_MB - INTERIOR,375
"79,90 - 84,90 / 360MEGAS BANDA LARGA - (2024 X CONTRAPROPOSTA) ",375
100MB FIBRA - SOORETAMA,350
6MB - SANTA LUZIA SEM ROTEADOR,350
15 MB FIBRA JUNCADO,325
(BR)(Upgrade) IPTV + 300MB BANDA LARGA 2024,325
"2MB 64,90 - GIGANET PLANO ATUAL",325
(Upgrade) IPTV + 500MB BANDA LARGA 2024 (COMBO4),300
100 MEGAS EMPRESARIAL 2023 SLA 8 HORAS,275
10 MEGAS REDE LINHARES,225
6MB - SANTA LUZIA COM ROTEADOR,200
100 MB FIBRA JUNCADO,175
(BR)(Novos Clientes) IPTV + 300MB BANDA LARGA 2024,175
8_MB - INTERIOR,150
"5MB 100,00 - GIGANET PLANO ATUAL",150
10 MEGAS - 2018_SOORETAMA ,125
3 MEGAS - 2018_SOORETAMA,100
5 MEGAS - 2018_SOORETAMA,100
30 MEGAS REDE LINHARES,100
50 MEGA RESIDENCIAL VILA IZABEL,100
"6MB 100,00 - GIGANET PLANO ATUAL",100
8MB - SANTA LUZIA SEM ROTEADOR,75
100MB VILA IZABEL 2023,75
300 MEGAS REDE LINHARES,75
30 MB FIBRA JUNCADO,75
200 MB LINHARES+SOORETAMA,75
BRAÇO.RIO300MB+300MB BONUS 12MESES 2022,75
TAUA 300MEGAS,75
600 MEGAS COMERCIAL SLA 24H IP VALIDO,75
8MB - PLANO 2017,50
6 MEGAS - 2018_SOORETAMA,50
100 MEGAS (UNIVERSAL E SAAE),50
8MB - SANTA LUZIA COM ROTEADOR,50
"BRAÇO.RIO-20MB-79,90-BONUS-MIGRA",50
(BR)(Upgrade) IPTV + 500MB BANDA LARGA 2024 (COMBO4),50
Ilimitado,50
200 MEGAS LINHARES FIDELIZADO,50
600MB  BANDA LARGA + REPETIDOR 2023,50
600MB + IP VALIDO - BANDA LARGA,50
PLANO ESCOLAR - 3285 - CEIM MIGUEL ALVEZ DA CUNHA - 600MEGAS,50
TAUA 200MEGAS,50
IMADER IMUNIZAÇÃO DE MADEIRAS,25
4 MEGAS - 2018_SOORETAMA,25
MELOTI,25
4MB - PLANO 2017,25
"BRAÇO.RIO-20MB-69,90-BONUS-MIGRA",25
COLATINA DIESEL,25
500MB + IP VALIDO - 1157 - CONSELHO DE ESCOLA DA EEEF. AUGUSTO DE OLIVEIRA,25
PEROBA ESTOFADOS,25
"BRAÇO.RIO-20MB-99,90-BONUS-MIGRA",25
40 MB BANDA LARGA 2023,25
DIONES ROSA,25
COOPEAVI,25
CALIMAN,25
200 MB FIBRA SOORETAMA,25
"59,90 - 64,90 / 60MEGAS BANDA LARGA - (2024 X CONTRAPROPOSTA) ",25
500 MEGAS EMPRESARIAL 2023 SLA 8 HORAS,25
PLANALTO MADEIRAS,25
"BRAÇO.RIO-20MB-89,90-BONUS-MIGRA",25
100 MEGAS CORPORATIVO,25
100 MEGAS EMPRESARIAL FIDELIZADO 2023,25
50 MEGAS CORPORATIVO FIDELIZADO 2022,25
150 MEGA RESIDENCIAL VILA IZABEL,25
50 MEGAS ESCOLAS SOORETAMA,25
CEIM PASTOR ANTONIO FELIZ - 2023,25
TAUA 500MEGAS,25
100 megas linhares fidelizado,25
10MB JUERANA B 2023,25
100 MEGAS EMPRESARIAL FIDELIZADO 2022,25
260MB VILA IZABEL 2023,25
150MB BANDA LARGA 2024,25
"3MB 50,00 - GIGANET PLANO ATUAL",25
250 MEGAS EMPRESARIAL 2023 SLA 8 HORAS,25
100 MEGAS CORPORATIVO 2023 SLA 4 HORAS,25
400 MEGAS CORPORATIVO 2023 SLA 4 HORAS,25
750 MEGAS CORPORATIVO 2023 SLA 4 HORAS,25
"99,90 - 109,90 / 460MEGAS BANDA LARGA - (2024 X CONTRAPROPOSTA) ",25
